conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,89453E+18;Thu Feb 27 22:20:59 +0000 2025;0;@yaniarsim @aniesbaswedan Ada orang sehebat ini ditolak jd presiden lah ini presiden modal omon2 malah kalian pilih ya gini makan siang gratis PPn 12% pemotongan anggaran sana sini....eh malahan ada fufufafa..ah sudahlah;1,89524E+18;;yaniarsim;in;;0;0;0;https://x.com/masuunk/status/1895237720869576814;33474783;masuunk
1,89508E+18;Thu Feb 27 17:47:14 +0000 2025;0;@kanialright diskon 50% dari awal tahun sampw 28 Feb eee kakk soalnya subsidi dari ppn 12% itu;1,89517E+18;;kanialright;in;;0;1;0;https://x.com/lmaoaopisan/status/1895168833004151239;8,63612E+17;lmaoaopisan
1,89504E+18;Thu Feb 27 16:06:12 +0000 2025;0;@ekokuntadhi1 Anjay pertamix;1,89514E+18;;ekokuntadhi1;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895143406336409675;1,60555E+18;Ind4hMaharani
1,89491E+18;Thu Feb 27 16:05:31 +0000 2025;0;@TOM5helby @Kemenperin_RI Ternyata Yamaha musik;1,89514E+18;;TOM5helby;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895143235183641016;1,60555E+18;Ind4hMaharani
1,89491E+18;Thu Feb 27 16:05:15 +0000 2025;0;@J_Kurnia30 @TOM5helby @Kemenperin_RI Yg tutup Bukan Sanken elektronik tv dll ya. Tp Sanken part kicik kicik gak da hub nya dgn Sanken elektronik;1,89514E+18;;J_Kurnia30;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895143165616869542;1,60555E+18;Ind4hMaharani
1,89473E+18;Thu Feb 27 16:03:01 +0000 2025;0;@Mdy_Asmara1701 Pnasaran ya datang sono ke magelang bukan ngebuzzer nyinyir bocil wong utk internal ya dishoot dikit wae ;1,89514E+18;;Mdy_Asmara1701;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895142605002039607;1,60555E+18;Ind4hMaharani
1,89455E+18;Thu Feb 27 16:00:01 +0000 2025;0;@Naz_lira Miskinkan para Bjingaannnnnnnnn;1,89514E+18;;Naz_lira;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895141848592851402;1,60555E+18;Ind4hMaharani
1,8946E+18;Thu Feb 27 15:57:36 +0000 2025;0;@yusuf_dumdum Sizonk lagi si zonk lagi cup;1,89514E+18;;yusuf_dumdum;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895141239319896102;1,60555E+18;Ind4hMaharani
1,89488E+18;Thu Feb 27 15:56:41 +0000 2025;0;@islah_bahrawi komut Pertamina + Dirut Pertamina yg baru orang ....... moga bisa buat Pertamina seperti Petronas;1,89514E+18;;islah_bahrawi;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895141008591200468;1,60555E+18;Ind4hMaharani
1,89444E+18;Thu Feb 27 15:53:13 +0000 2025;0;@Heraloebss Dua berita heboh dalam 1 waktu media tv medsos jd fokusnya terbelah️ menyala @KejaksaanRI ;1,89514E+18;;Heraloebss;in;;0;0;0;https://x.com/Ind4hMaharani/status/1895140136322732440;1,60555E+18;Ind4hMaharani
