bisa
lihatlah
nyinyir
muka
mikirnya
orangnya
ucapkan
bahasanya
jadul
mulailah
alhamdulilah
fomo
sikat
bon
pra
seng
perutnya
kalikong
dibilangin
sang
maksa
pembohong
halah
mbok
de
pikirin
apaan
seolah
kesannya
nantinya
bobrok
busuk
misalnya
ump
mc
dst
bungkus
santai
lempar
sendirinya
modelan
part
singkirkan
kerasa
pasrah
ngejar
kirim
belain
lha
enaknya
nikmatin
nyir
sia
mu
jogetin
ketar
ketir
ombak
dahh
xixixixiixixixix 
ye
mencak
kapok
manjain
seeh
menikmati
dipasaran
pelat
ngawurnya
kanan
jogat
babat
asaan
keputus
makanlah
mampus
digaung
dipikir
ton
blok
kan
gya
amburadul
om
seenak
semut
lubang
belas
walk
bedebah
terbuat
bungkusnya
sakunya
teman
syukurlah
hahahahaha 
out
eeee
kupingnya
insyaaallah
anu
puluhan
giat
gelar
menggapai
ratus
disekitar
ucapan
berucap
logika
maraknya
wkwka
kebalikan
bersemangat
selamanya
assalamualaikum
dibesarkan
tulisan
bulus
seterusnya
dasarnya
perbandingan
perb
ngomongin
dikira
menduga
langit
kuk
sambil
seluruhnya
oooeeeee 
ooeeeee
waduuhh
olah
ob
ze
bolah
januari
akar
aliran
nyebar
merusak
lolos
teknis
terbalik
berimbas
detik
piara
kkkk
diucapkan
terbahak
sekejap
tips
rupa
mengajarkan
rungkaddd
muncul
bung
panggil
abah
wkwkw
kenikmatan
hakiki
sekelas
dipelihara
sendirian
belakangan
halnya
pertanda
minggir
dibaliknya
merasa
dimulai
pikiran
berobat
kerumah
ikiii
piyeeee
semana
pekan
kemudian
final
gajar
kebawahlah
panggilan
boss
bos
siapapun
hy
melatih
bulanan
berpikirnya
dulunya
seindah
bin
fergusoo
sekitaran
yahh
yuk
bosqueee
realita
besok
last
anggap
enakin
tercipta
ngomongnya
belajarlah
cak
lontong
gajebooo
jalani
lahh
patut
wkakakkaa
wkwkkw
ngakak
ditembak
bertugas
selagi
klise
misalkan
timnya
coyyy
kategorinya
dikategorikan 
kwkwkwkke
ketebak
sekalipun
walah
atuh
bahagia
banyakan
belakang
terbesarnya
dirumah
dikampungnya
mengalir
dipisah
kunyuknya
caramu
garis
seratus
kembalian
silakan
terlebih
ibarat
cuy
kocakk
beruntung
kenajisan
merta
diberi
janggar
face
bjirr
blue
cuk
diwaktu
smiling
melulu
persatu
realitanya
sebar
letakin
sejuta
bosan
kelamaan
kemungkinan
sip
jarang
neg
sesekali
diberikan
kisaran
dihidupkan
ditempat
sadarlah
ketara
disyukuri
faktor
disana
diilustrasikan
ingatkan
memerhatikan
setengah
menggunung
sebagian
boz
becusnya
sebulan
kiloan
sebelah
lucunya
terkejar
ibuk
dikejar
dkk
terlepas
soalnya
omonglah
hadeuh
ter
kaleeeeee
coy
masing
sebentar
meter
pukul
kwh
adegan
pertonton
jajah
adlh
vs
putih
memberkahi
jikalau
dihabiskan
alloooooh
men
jagoanku
hei
abang
menghindari
kelar
bejibun
geng
plonga
plongo
umur
jalur
tan
ngaco
nh
hahahahah
narik
wkwkwkwkwk 
panjang
taruh
seumur
good
palsu
nambal
lawak
satunya
gokil
awokawokawok
hanyalah
dam
world
semata
gorengan
cobalah
mengagungkan
beginian
ngajarin
elah
nunggu
kabur
pastinya
dinikmati
va
coooo
pasang
senggol
kapanpun
mampunya
tipis
blingsatan
babunya
situ
wajarlah
jarak
aslinya
sendi
coooo
tuanya
dalih
perbutir
lamban
manual
tentunya
baguslah
dagelan
dirinya
lembek
wkwkwkwkkw 
ditaruh 
dikamar
dooong
jir
doong
kokoh
percayalah
ngomong-ngomomng
jelasinnya
perkataan
dakjal
anjayyyyy 
hahhahhaa
benci
haus
broh
tiruan
nabungnya
mulia
garong
waduh
wah
nada
mengerikan
intip
sifatnya
nyaman
ketimbang
logis
membahagiakan
betulkan
khawatir
beritanya
bobroknya
bondong
ditarik
jurusnya
bawaan
piyeee
mendoakan
secepat
memper
sekarat
tugas
mengerjakan
kekuatan
sombong
hendaknya
ja
berbahagia
puas
berfoya
dikursi
hadeeh
anjir
ampuuum
well
merekalah
suaranya
lihatnya
kesenangan
menyiapkan
andaikan
pinokio
diingkari
mengeluh
end
begi
tai
milik
meng
garongi
bosss
booooss
ditempatku
kutub
remuk
laki
kodratnya
memuaskan
adakah
buatkan
broow
leher
risau
ingkari
buset
pecah
belah
manja
cengeng
nyerah
by
seh
dikadali
teriakan
egonya
mya
pura
daja
kwi
yo
like
do
sakiti
binatang
tergiur
dibilang
lahan
binatangnya
digemukkan
mental
rasa
ego
bola
liar
jh
hmmm
mampuslah
zonk
lan
tidakkah
haruskah
kedzoliman
tabah
keladinya
biang
nyungseep
goni
am
amrooool
berasa
ku
ketawa
alang
becik
ketitik
olo
ketoro
medkg
bi
kenangan
batang
ibliss
mendang
rill
ragam
asikkk
loll
hai
lelal
idiot
jancuk
sabtu
buncit
jam
seminggu
minggu
libur
capek
seret
ulah
rumput
kuras
tuk
selangit
teruntuk
ayolah 
sesaat
akalan
ngeluh
gemblung
bersayap
kalimat
bulat
utuh
ingatlah
teruskan
disitu
kesana
awas
tolonglah
sich
amin
kemanakan
bangganya
hendak
azab
usang
dumi
abbd
lima
linglung
buntung
pedas
ckckck
kn
dibodohin
mena
bodohi
berapi
eee
broo
alaziiiiim
rimba
kwkwk
mendarah
asthofirulloooooooooh
ajuuuuuuuur
menyebalkan
lemas
bone
note
ygy
mantan
mbalelo
naudzubilah
keringet
heh
ngamuk
tenggelamkan
azabnya
keterlaluan
pantaskah
sederhana
celaka
celakai
cemen
terbang
disaat
ludah
ehhh
inikah
mananya
buuuuu
eg
melenggang
menyiksa
mimpi
masyalloh
ialah
puji
haha
baliknya
volt
tetaplah
sekolahnya
cacat
pamrih
jelek
kumpul
dibohongi
getahnya
nikmati
zamannya
berprasangka
payah
membabi
ltr
maning
jenius
beserta
sasetan
bilamana
keenakan
tuuh
japo
bangke
panjul
kambing
kilo
ibaratnya
perojolan
sekian
wo
contohnya
budak
sepiring
jed
emangnya
gara-gara
bravo
lumayan
seharus
memangnya
signal
wkkkkkkk 
mbps
halo
dlsbg
selainnya
yeess
iminzalik
naudzubillah
bapaknya
masakannya
palingan
cucu
dijawab
ditanya
sesukamu
buatlah
tugasnya
disekitaran
beraninya
mulu
naga
macam-macam
bocah
masnya
tumbal
on
blo
yaya
doyan
omdo
med
kutuan
buatin
